ï»¿Time_s      	VehicleSpeed_kmh	CurrentGear 
      0.1450	      0.0000	         125
      0.1550	      0.0000	         125
      0.1650	      0.0000	         125
      0.1752	      0.0000	         125
      0.1850	      0.0000	         125
      0.1950	      0.0000	         125
      0.2050	      0.0000	         125
      0.2150	      0.0000	         125
      0.2250	      0.0000	         125
      0.2350	      0.0000	         125
      0.2450	      0.0000	         125
      0.2552	      0.0000	         125
      0.2650	      0.0000	         125
      0.2750	      0.0000	         125
      0.2850	      0.0000	         125
      0.2950	      0.0000	         125
      0.3050	      0.0000	         125
      0.3150	      0.0000	         125
      0.3250	      0.0000	         125
      0.3352	      0.0000	         125
      0.3450	      0.0000	         125
      0.3550	      0.0000	         125
      0.3650	      0.0000	         125
      0.3750	      0.0000	         125
      0.3850	      0.0000	         125
      0.3950	      0.0000	         125
      0.4050	      0.0000	         125
      0.4152	      0.0000	         125
      0.4250	      0.0000	         125
      0.4350	      0.0000	         125
      0.4450	      0.0000	         125
      0.4550	      0.0000	         125
      0.4650	      0.0000	         125
      0.4754	      0.0000	         125
      0.4850	      0.0000	         125
      0.4952	      0.0000	         125
      0.5050	      0.0000	         125
      0.5150	      0.0000	         125
      0.5250	      0.0000	         125
      0.5350	      0.0000	         125
      0.5450	      0.0000	         125
      0.5550	      0.0000	         125
      0.5650	      0.0000	         125
      0.5752	      0.0000	         125
      0.5850	      0.0000	         125
      0.5950	      0.0000	         125
      0.6050	      0.0000	         125
      0.6150	      0.0000	         125
      0.6250	      0.0000	         125
      0.6350	      0.0000	         125
      0.6450	      0.0000	         125
      0.6552	      0.0000	         125
      0.6650	      0.0000	         125
      0.6750	      0.0000	         125
      0.6850	      0.0000	         125
      0.6950	      0.0000	         125
      0.7051	      0.0000	         125
      0.7150	      0.0000	         125
      0.7250	      0.0000	         125
      0.7352	      0.0000	         125
      0.7450	      0.0000	         125
      0.7550	      0.0000	         125
      0.7650	      0.0000	         125
      0.7750	      0.0000	         125
      0.7850	      0.0000	         125
      0.7950	      0.0000	         125
      0.8050	      0.0000	         125
      0.8152	      0.0000	         125
      0.8250	      0.0000	         125
      0.8350	      0.0000	         125
      0.8450	      0.0000	         125
      0.8550	      0.0000	         125
      0.8650	      0.0000	         125
      0.8750	      0.0000	         125
      0.8850	      0.0000	         125
      0.8952	      0.0000	         125
      0.9050	      0.0000	         125
      0.9150	      0.0000	         125
      0.9251	      0.0000	         125
      0.9350	      0.0000	         125
      0.9450	      0.0000	         125
      0.9550	      0.0000	         125
      0.9650	      0.0000	         125
      0.9752	      0.0000	         125
      0.9850	      0.0000	         125
      0.9950	      0.0000	         125
      1.0050	      0.0000	         125
      1.0150	      0.0000	         125
      1.0251	      0.0000	         125
      1.0350	      0.0000	         125
      1.0450	      0.0000	         125
      1.0552	      0.0000	         125
      1.0650	      0.0000	         125
      1.0750	      0.0000	         125
      1.0850	      0.0000	         125
      1.0950	      0.0000	         125
      1.1050	      0.0000	         125
      1.1150	      0.0000	         125
      1.1251	      0.0000	         125
      1.1352	      0.0000	         125
      1.1450	      0.0000	         125
      1.1550	      0.0000	         125
      1.1650	      0.0000	         125
      1.1750	      0.0000	         125
      1.1850	      0.0000	         125
      1.1950	      0.0000	         125
      1.2050	      0.0000	         125
      1.2152	      0.0000	         125
      1.2251	      0.0000	         125
      1.2350	      0.0000	         125
      1.2450	      0.0000	         125
      1.2550	      0.0000	         125
      1.2650	      0.0000	         125
      1.2750	      0.0000	         125
      1.2850	      0.0000	         125
      1.2952	      0.0000	         125
      1.3050	      0.0000	         125
      1.3150	      0.0000	         125
      1.3251	      0.0000	         125
      1.3350	      0.0000	         125
      1.3450	      0.0000	         125
      1.3550	      0.0000	         125
      1.3650	      0.0000	         125
      1.3752	      0.0000	         125
      1.3850	      0.0000	         125
      1.3950	      0.0000	         125
      1.4050	      0.0000	         125
      1.4150	      0.0000	         125
      1.4250	      0.0000	         125
      1.4350	      0.0000	         125
      1.4450	      0.0000	         125
      1.4552	      0.0000	         125
      1.4650	      0.0000	         125
      1.4754	      0.0000	         125
      1.4850	      0.0000	         125
      1.4950	      0.0000	         125
      1.5050	      0.0000	         125
      1.5150	      0.0000	         125
      1.5251	      0.0000	         125
      1.5352	      0.0000	         125
      1.5450	      0.0000	         125
      1.5550	      0.0000	         125
      1.5650	      0.0000	         125
      1.5751	      0.0000	         125
      1.5851	      0.0000	         125
      1.5950	      0.0000	         125
      1.6050	      0.0000	         125
      1.6153	      0.0000	         125
      1.6251	      0.0000	         125
      1.6350	      0.0000	         125
      1.6451	      0.0000	         125
      1.6550	      0.0000	         125
      1.6651	      0.0000	         125
      1.6752	      0.0000	         125
      1.6851	      0.0000	         125
      1.6953	      0.0000	         125
      1.7051	      0.0000	         125
      1.7150	      0.0000	         125
      1.7251	      0.0000	         125
      1.7351	      0.0000	         125
      1.7451	      0.0000	         125
      1.7551	      0.0000	         125
      1.7651	      0.0000	         125
      1.7753	      0.0000	         125
      1.7851	      0.0000	         125
      1.7951	      0.0000	         125
      1.8051	      0.0000	         125
      1.8151	      0.0000	         125
      1.8251	      0.0000	         125
