ï»¿Time_s      	Left_FrontWheelSpeed	Right_FrontWheelSpeed
      0.1002	      0.0000	      0.0000
      0.1202	      0.0000	      0.0000
      0.1402	      0.0000	      0.0000
      0.1602	      0.0000	      0.0000
      0.1808	      0.0000	      0.0000
      0.2002	      0.0000	      0.0000
      0.2202	      0.0000	      0.0000
      0.2402	      0.0000	      0.0000
      0.2602	      0.0000	      0.0000
      0.2808	      0.0000	      0.0000
      0.3002	      0.0000	      0.0000
      0.3202	      0.0000	      0.0000
      0.3402	      0.0000	      0.0000
      0.3602	      0.0000	      0.0000
      0.3808	      0.0000	      0.0000
      0.4002	      0.0000	      0.0000
      0.4203	      0.0000	      0.0000
      0.4402	      0.0000	      0.0000
      0.4602	      0.0000	      0.0000
      0.4814	      0.0000	      0.0000
      0.5002	      0.0000	      0.0000
      0.5203	      0.0000	      0.0000
      0.5403	      0.0000	      0.0000
      0.5602	      0.0000	      0.0000
      0.5809	      0.0000	      0.0000
      0.6002	      0.0000	      0.0000
      0.6203	      0.0000	      0.0000
      0.6403	      0.0000	      0.0000
      0.6602	      0.0000	      0.0000
      0.6809	      0.0000	      0.0000
      0.7003	      0.0000	      0.0000
      0.7203	      0.0000	      0.0000
      0.7403	      0.0000	      0.0000
      0.7603	      0.0000	      0.0000
      0.7803	      0.0000	      0.0000
      0.8003	      0.0000	      0.0000
      0.8203	      0.0000	      0.0000
      0.8403	      0.0000	      0.0000
      0.8603	      0.0000	      0.0000
      0.8809	      0.0000	      0.0000
      0.9003	      0.0000	      0.0000
      0.9203	      0.0000	      0.0000
      0.9403	      0.0000	      0.0000
      0.9603	      0.0000	      0.0000
      0.9809	      0.0000	      0.0000
      1.0003	      0.0000	      0.0000
      1.0203	      0.0000	      0.0000
      1.0403	      0.0000	      0.0000
      1.0603	      0.0000	      0.0000
      1.0809	      0.0000	      0.0000
      1.1003	      0.0000	      0.0000
      1.1203	      0.0000	      0.0000
      1.1403	      0.0000	      0.0000
      1.1603	      0.0000	      0.0000
      1.1809	      0.0000	      0.0000
      1.2003	      0.0000	      0.0000
      1.2203	      0.0000	      0.0000
      1.2403	      0.0000	      0.0000
      1.2603	      0.0000	      0.0000
      1.2803	      0.0000	      0.0000
      1.3003	      0.0000	      0.0000
      1.3203	      0.0000	      0.0000
      1.3403	      0.0000	      0.0000
      1.3603	      0.0000	      0.0000
      1.3809	      0.0000	      0.0000
      1.4003	      0.0000	      0.0000
      1.4203	      0.0000	      0.0000
      1.4403	      0.0000	      0.0000
      1.4603	      0.0000	      0.0000
      1.4806	      0.0000	      0.0000
      1.5003	      0.0000	      0.0000
      1.5204	      0.0000	      0.0000
      1.5404	      0.0000	      0.0000
      1.5603	      0.0000	      0.0000
      1.5804	      0.0000	      0.0000
      1.6003	      0.0000	      0.0000
      1.6204	      0.0000	      0.0000
      1.6404	      0.0000	      0.0000
      1.6603	      0.0000	      0.0000
      1.6809	      0.0000	      0.0000
      1.7004	      0.0000	      0.0000
      1.7204	      0.0000	      0.0000
      1.7404	      0.0000	      0.0000
      1.7603	      0.0000	      0.0000
      1.7804	      0.0000	      0.0000
      1.8003	      0.0000	      0.0000
      1.8204	      0.0000	      0.0000
      1.8404	      0.0000	      0.0000
      1.8604	      0.0000	      0.0000
      1.8810	      0.0000	      0.0000
      1.9004	      0.0000	      0.0000
      1.9204	      0.0000	      0.0000
      1.9404	      0.0000	      0.0000
      1.9604	      0.0000	      0.0000
      1.9804	      0.0000	      0.0000
      2.0004	      0.0000	      0.0000
      2.0204	      0.0000	      0.0000
      2.0404	      0.0000	      0.0000
      2.0604	      0.0000	      0.0000
      2.0810	      0.0000	      0.0000
      2.1004	      0.0000	      0.0000
      2.1204	      0.0000	      0.0000
      2.1404	      0.0000	      0.0000
      2.1604	      0.0000	      0.0000
      2.1807	      0.0000	      0.0000
      2.2004	      0.0000	      0.0000
      2.2204	      0.0000	      0.0000
      2.2404	      0.0000	      0.0000
      2.2604	      0.0000	      0.0000
      2.2804	      0.0000	      0.0000
      2.3004	      0.0000	      0.0000
      2.3204	      0.0000	      0.0000
      2.3404	      0.0000	      0.0000
