ï»¿Time_s      	SteeringWheelAngle_rad	InputShaftAngle_deg
      0.1062	  0.81545313	     -3.9375
      0.1164	  0.81545313	     -3.9375
      0.1262	  0.81545313	     -3.9375
      0.1362	  0.81545313	     -3.9375
      0.1462	  0.81545313	     -3.9375
      0.1565	  0.81545313	     -3.9375
      0.1662	  0.81545313	     -3.9375
      0.1762	  0.81545313	     -3.9375
      0.1862	  0.81545313	     -3.9375
      0.1962	  0.81545313	     -3.9375
      0.2062	  0.81545313	     -3.9375
      0.2163	  0.81545313	     -3.9375
      0.2262	  0.81545313	     -3.9375
      0.2364	  0.81545313	     -3.9375
      0.2462	  0.81545313	     -3.9375
      0.2562	  0.81545313	     -3.9375
      0.2662	  0.81545313	     -3.9375
      0.2765	  0.81545313	     -3.9375
      0.2863	  0.81545313	     -3.9375
      0.2963	  0.81545313	     -3.9375
      0.3063	  0.81545313	     -3.9375
      0.3165	  0.81545313	     -3.9375
      0.3263	  0.81545313	     -3.9375
      0.3365	  0.81545313	     -3.9375
      0.3463	  0.81545313	     -3.9375
      0.3564	  0.81545313	     -3.9375
      0.3663	  0.81545313	     -3.9375
      0.3763	  0.81545313	     -3.9375
      0.3863	  0.81545313	     -3.9375
      0.3963	  0.81545313	     -3.9375
      0.4063	  0.81545313	     -3.9375
      0.4163	  0.81545313	     -3.9375
      0.4263	  0.81545313	     -3.9375
      0.4365	  0.81545313	     -3.9375
      0.4463	  0.81545313	     -3.9375
      0.4565	  0.81545313	     -3.9375
      0.4663	  0.81545313	     -3.9375
      0.4764	  0.81545313	     -3.9375
      0.4863	  0.81545313	     -3.9375
      0.4963	  0.81545313	     -3.9375
      0.5063	  0.81545313	     -3.9375
      0.5165	  0.81545313	     -3.9375
      0.5263	  0.81545313	     -3.9375
      0.5365	  0.81545313	     -3.9375
      0.5463	  0.81545313	     -3.9375
      0.5565	  0.81545313	     -3.9375
      0.5663	  0.81545313	     -3.9375
      0.5765	  0.81545313	     -3.9375
      0.5863	  0.81545313	     -3.9375
      0.5963	  0.81545313	     -3.9375
      0.6063	  0.81545313	     -3.9375
      0.6163	  0.81545313	     -3.9375
      0.6263	  0.81545313	     -3.9375
      0.6365	  0.81545313	     -3.9375
      0.6463	  0.81545313	     -3.9375
      0.6563	  0.81545313	     -3.9375
      0.6663	  0.81545313	     -3.9375
      0.6765	  0.81545313	     -3.9375
      0.6863	  0.81545313	     -3.9375
      0.6963	  0.81545313	     -3.9375
      0.7063	  0.81545313	     -3.9375
      0.7165	  0.81545313	     -3.9375
      0.7263	  0.81545313	     -3.9375
      0.7365	  0.81545313	     -3.9375
      0.7463	  0.81545313	     -3.9375
      0.7565	  0.81545313	     -3.9375
      0.7663	  0.81545313	     -3.9375
      0.7765	  0.81545313	     -3.9375
      0.7863	  0.81545313	     -3.9375
      0.7963	  0.81545313	     -3.9375
      0.8063	  0.81545313	     -3.9375
      0.8164	  0.81545313	     -3.9375
      0.8263	  0.81545313	     -3.9375
      0.8365	  0.81545313	     -3.9375
      0.8463	  0.81545313	     -3.9375
      0.8564	  0.81545313	     -3.9375
      0.8663	  0.81545313	     -3.9375
      0.8765	  0.81545313	     -3.9375
      0.8863	  0.81545313	     -3.9375
      0.8963	  0.81545313	     -3.9375
      0.9063	  0.81545313	     -3.9375
      0.9164	  0.81545313	     -3.9375
      0.9263	  0.81545313	     -3.9375
      0.9364	  0.81545313	     -3.9375
      0.9463	  0.81545313	     -3.9375
      0.9564	  0.81545313	     -3.9375
      0.9663	  0.81545313	     -3.9375
      0.9765	  0.81545313	     -3.9375
      0.9863	  0.81545313	     -3.9375
      0.9963	  0.81545313	     -3.9375
      1.0063	  0.81545313	     -3.9375
      1.0165	  0.81545313	     -3.9375
      1.0263	  0.81545313	     -3.9375
      1.0364	  0.81545313	     -3.9375
      1.0463	  0.81545313	     -3.9375
      1.0565	  0.81545313	     -3.9375
      1.0663	  0.81545313	     -3.9375
      1.0765	  0.81545313	     -3.9375
      1.0863	  0.81545313	     -3.9375
      1.0963	  0.81545313	     -3.9375
      1.1063	  0.81545313	     -3.9375
      1.1165	  0.81545313	     -3.9375
      1.1263	  0.81545313	     -3.9375
      1.1364	  0.81545313	     -3.9375
      1.1463	  0.81545313	     -3.9375
      1.1565	  0.81545313	     -3.9375
      1.1663	  0.81545313	     -3.9375
      1.1765	  0.81545313	     -3.9375
      1.1863	  0.81545313	     -3.9375
      1.1963	  0.81545313	     -3.9375
      1.2063	  0.81545313	     -3.9375
      1.2165	  0.81545313	     -3.9375
      1.2263	  0.81545313	     -3.9375
      1.2364	  0.81545313	     -3.9375
      1.2463	  0.81545313	     -3.9375
      1.2565	  0.81545313	     -3.9375
      1.2663	  0.81545313	     -3.9375
      1.2765	  0.81545313	     -3.9375
      1.2863	  0.81545313	     -3.9375
      1.2963	  0.81545313	     -3.9375
      1.3063	  0.81545313	     -3.9375
      1.3165	  0.81545313	     -3.9375
      1.3263	  0.81545313	     -3.9375
      1.3365	  0.81545313	     -3.9375
      1.3463	  0.81545313	     -3.9375
      1.3565	  0.81545313	     -3.9375
      1.3663	  0.81545313	     -3.9375
      1.3765	  0.81545313	     -3.9375
      1.3863	  0.81545313	     -3.9375
      1.3963	  0.81545313	     -3.9375
      1.4063	  0.81545313	     -3.9375
      1.4165	  0.81545313	     -3.9375
      1.4263	  0.81545313	     -3.9375
      1.4365	  0.81545313	     -3.9375
      1.4463	  0.81545313	     -3.9375
