ï»¿Time_s      	WheelBasedVehicleSpd
      0.1148	      0.0000
      0.2147	      0.0000
      0.3147	      0.0000
      0.4149	      0.0000
      0.5147	      0.0000
      0.6148	      0.0000
      0.7148	      0.0000
      0.8147	      0.0000
      0.9147	      0.0000
      1.0149	      0.0000
      1.1148	      0.0000
      1.2148	      0.0000
      1.3149	      0.0000
      1.4148	      0.0000
      1.5148	      0.0000
      1.6149	      0.0000
      1.7148	      0.0000
      1.8148	      0.0000
      1.9149	      0.0000
      2.0149	      0.0000
      2.1149	      0.0000
      2.2150	      0.0000
      2.3149	      0.0000
      2.4149	      0.0000
      2.5150	      0.0000
      2.6149	      0.0000
      2.7150	      0.0000
      2.8150	      0.0000
      2.9149	      0.0000
      3.0150	      0.0000
      3.1151	      0.0000
      3.2150	      0.0000
      3.3150	      0.0000
      3.4151	      0.0000
      3.5150	      0.0000
      3.6150	      0.0000
      3.7151	      0.0000
      3.8150	      0.0000
      3.9150	      0.0000
      4.0152	      0.0000
      4.1150	      0.0000
      4.2151	      0.0000
      4.3152	      0.0000
      4.4151	      0.0000
      4.5151	      0.0000
      4.6152	      0.0000
      4.7151	      0.0000
      4.8151	      0.0000
      4.9152	      0.0000
      5.0152	      0.0000
      5.1151	      0.0000
      5.2153	      0.0000
      5.3151	      0.0000
      5.4152	      0.0000
      5.5153	      0.0000
      5.6152	      0.0000
      5.7151	      0.0000
      5.8153	      0.0000
      5.9152	      0.0000
      6.0152	      0.0000
      6.1153	      0.0000
      6.2153	      0.0000
      6.3152	      0.0000
      6.4154	      0.0000
      6.5152	      0.0000
      6.6153	      0.0000
      6.7154	      0.0000
      6.8153	      0.0000
      6.9153	      0.0000
      7.0154	      0.0000
      7.1153	      0.0000
      7.2153	      0.0000
      7.3154	      0.0000
      7.4153	      0.0000
      7.5153	      0.0000
      7.6155	      0.0000
      7.7153	      0.0000
      7.8154	      0.0000
      7.9155	      0.0000
      8.0154	      0.0000
      8.1154	      0.0000
      8.2156	      0.0000
      8.3154	      0.0000
      8.4154	      0.0000
      8.5155	      0.0000
      8.6155	      0.0000
      8.7154	      0.0000
      8.8156	      0.0000
      8.9155	      0.0000
      9.0155	      0.0000
      9.1156	      0.0000
      9.2155	      0.0000
      9.3155	      0.0000
      9.4156	      0.0000
      9.5155	      0.0000
      9.6155	      0.0000
      9.7156	      0.0000
      9.8156	      0.0000
      9.9155	      0.0000
     10.0157	      0.0000
     10.1155	      0.0000
     10.2156	      0.0000
     10.3157	      0.0000
     10.4156	      0.0000
     10.5156	      0.0000
     10.6157	      0.0000
     10.7156	      0.0000
     10.8156	      0.0000
     10.9157	      0.0000
     11.0157	      0.0000
     11.1157	      0.0000
     11.2158	      0.0000
     11.3157	      0.0000
     11.4157	      0.0000
     11.5158	      0.0000
     11.6157	      0.0000
