ï»¿Time_s      	SteeringWheelAngle_rad	InputShaftAngle_deg
      0.1291	  3.35256250	    141.1250
      0.1392	  3.35256250	    141.1250
      0.1493	  3.35256250	    141.1250
      0.1592	  3.35256250	    141.1250
      0.1693	  3.35256250	    141.1250
      0.1792	  3.35256250	    141.1250
      0.1891	  3.35256250	    141.1250
      0.1992	  3.35256250	    141.1250
      0.2091	  3.35256250	    141.1250
      0.2192	  3.35256250	    141.1250
      0.2293	  3.35256250	    141.1250
      0.2392	  3.35256250	    141.1250
      0.2493	  3.35256250	    141.1250
      0.2592	  3.35256250	    141.1250
      0.2693	  3.35256250	    141.1250
      0.2792	  3.35256250	    141.1250
      0.2894	  3.35256250	    141.1250
      0.2993	  3.35256250	    141.1250
      0.3092	  3.35256250	    141.1250
      0.3192	  3.35256250	    141.1250
      0.3291	  3.35256250	    141.1250
      0.3392	  3.35256250	    141.1250
      0.3493	  3.35256250	    141.1250
      0.3592	  3.35256250	    141.1250
      0.3693	  3.35256250	    141.1250
      0.3792	  3.35256250	    141.1250
      0.3894	  3.35256250	    141.1250
      0.3993	  3.35256250	    141.1250
      0.4094	  3.35256250	    141.1250
      0.4192	  3.35256250	    141.1250
      0.4294	  3.35256250	    141.1250
      0.4392	  3.35256250	    141.1250
      0.4493	  3.35256250	    141.1250
      0.4593	  3.35256250	    141.1250
      0.4692	  3.35256250	    141.1250
      0.4792	  3.35256250	    141.1250
      0.4894	  3.35256250	    141.1250
      0.4993	  3.35256250	    141.1250
      0.5094	  3.35256250	    141.1250
      0.5192	  3.35256250	    141.1250
      0.5291	  3.35256250	    141.1250
      0.5392	  3.35256250	    141.1250
      0.5493	  3.35256250	    141.1250
      0.5593	  3.35256250	    141.1250
      0.5693	  3.35256250	    141.1250
      0.5792	  3.35256250	    141.1250
      0.5894	  3.35256250	    141.1250
      0.5993	  3.35256250	    141.1250
      0.6091	  3.35256250	    141.1250
      0.6192	  3.35256250	    141.1250
      0.6292	  3.35256250	    141.1250
      0.6392	  3.35256250	    141.1250
      0.6493	  3.35256250	    141.1250
      0.6593	  3.35256250	    141.1250
      0.6693	  3.35256250	    141.1250
      0.6792	  3.35256250	    141.1250
      0.6891	  3.35256250	    141.1250
      0.6993	  3.35256250	    141.1250
      0.7094	  3.35256250	    141.1250
      0.7193	  3.35256250	    141.1250
      0.7292	  3.35256250	    141.1250
      0.7393	  3.35256250	    141.1250
      0.7494	  3.35256250	    141.1250
      0.7593	  3.35256250	    141.1250
      0.7693	  3.35256250	    141.1250
      0.7793	  3.35256250	    141.1250
      0.7892	  3.35256250	    141.1250
      0.7993	  3.35256250	    141.1250
      0.8092	  3.35256250	    141.1250
      0.8193	  3.35256250	    141.1250
      0.8293	  3.35256250	    141.1250
      0.8393	  3.35256250	    141.1250
      0.8494	  3.35256250	    141.1250
