ï»¿Time_s      	WheelBasedVehicleSpd
      0.1440	      0.0000
      0.2440	      0.0000
      0.3441	      0.0000
      0.4440	      0.0000
      0.5441	      0.0000
      0.6442	      0.0000
      0.7440	      0.0000
      0.8441	      0.0000
      0.9442	      0.0000
      1.0441	      0.0000
      1.1441	      0.0000
      1.2442	      0.0000
      1.3441	      0.0000
      1.4442	      0.0000
      1.5442	      0.0000
      1.6442	      0.0000
      1.7442	      0.0000
      1.8442	      0.0000
      1.9441	      0.0000
      2.0442	      0.0000
      2.1443	      0.0000
      2.2442	      0.0000
      2.3442	      0.0000
      2.4443	      0.0000
      2.5442	      0.0000
      2.6443	      0.0000
      2.7443	      0.0000
      2.8443	      0.0000
      2.9443	      0.0000
      3.0443	      0.0000
      3.1443	      0.0000
      3.2443	      0.0000
      3.3444	      0.0000
      3.4443	      0.0000
      3.5443	      0.0000
      3.6444	      0.0000
      3.7443	      0.0000
      3.8444	      0.0000
      3.9444	      0.0000
      4.0443	      0.0000
      4.1444	      0.0000
      4.2444	      0.0000
      4.3444	      0.0000
      4.4445	      0.0000
      4.5445	      0.0000
      4.6444	      0.0000
      4.7444	      0.0000
      4.8445	      0.0000
      4.9444	      0.0000
      5.0445	      0.0000
      5.1445	      0.0000
      5.2444	      0.0000
      5.3445	      0.0000
      5.4446	      0.0000
      5.5445	      0.0000
      5.6446	      0.0000
      5.7446	      0.0000
      5.8445	      0.0000
      5.9445	      0.0000
      6.0446	      0.0000
      6.1445	      0.0000
      6.2446	      0.0000
      6.3446	      0.0000
      6.4446	      0.0000
      6.5446	      0.0000
      6.6447	      0.0000
      6.7446	      0.0000
      6.8446	      0.0000
      6.9447	      0.0000
      7.0446	      0.0000
      7.1446	      0.0000
      7.2447	      0.0000
      7.3446	      0.0000
      7.4447	      0.0000
      7.5447	      0.0000
      7.6447	      0.0000
      7.7447	      0.0000
      7.8448	      0.0000
      7.9447	      0.0000
      8.0447	      0.0000
      8.1448	      0.0000
      8.2447	      0.0000
      8.3447	      0.0000
      8.4449	      0.0000
      8.5447	      0.0000
      8.6448	      0.0000
      8.7448	      0.0000
      8.8448	      0.0000
      8.9448	      0.0000
      9.0449	      0.0000
      9.1448	      0.0000
      9.2448	      0.0000
      9.3449	      0.0000
      9.4448	      0.0000
      9.5448	      0.0000
      9.6450	      0.0000
      9.7448	      0.0000
      9.8449	      0.0000
      9.9449	      0.0000
     10.0449	      0.0000
     10.1449	      0.0000
     10.2450	      0.0000
     10.3449	      0.0000
     10.4450	      0.0000
     10.5450	      0.0000
     10.6450	      0.0000
     10.7450	      0.0000
     10.8450	      0.0000
     10.9449	      0.0000
     11.0450	      0.0000
     11.1451	      0.0000
     11.2450	      0.0000
     11.3450	      0.0000
     11.4451	      0.0000
     11.5450	      0.0000
     11.6451	      0.0000
     11.7451	      0.0000
     11.8450	      0.0000
     11.9451	      0.0000
     12.0452	      0.0000
     12.1451	      0.0000
     12.2451	      0.0000
     12.3452	      0.0000
     12.4451	      0.0000
     12.5451	      0.0000
     12.6452	      0.0000
     12.7451	      0.0000
     12.8452	      0.0000
     12.9452	      0.0000
     13.0451	      0.0000
     13.1452	      0.0000
     13.2453	      0.0000
     13.3452	      0.0000
     13.4452	      0.0000
     13.5453	      0.0000
     13.6452	      0.0000
