ï»¿Time_s      	Left_FrontWheelSpeed	Right_FrontWheelSpeed
      0.1317	      0.0000	      0.0000
      0.1517	      0.0000	      0.0000
      0.1714	      0.0000	      0.0000
      0.1914	      0.0000	      0.0000
      0.2119	      0.0000	      0.0000
      0.2316	      0.0000	      0.0000
      0.2517	      0.0000	      0.0000
      0.2714	      0.0000	      0.0000
      0.2914	      0.0000	      0.0000
      0.3114	      0.0000	      0.0000
      0.3317	      0.0000	      0.0000
      0.3517	      0.0000	      0.0000
      0.3714	      0.0000	      0.0000
      0.3914	      0.0000	      0.0000
      0.4114	      0.0000	      0.0000
      0.4316	      0.0000	      0.0000
      0.4517	      0.0000	      0.0000
      0.4714	      0.0000	      0.0000
      0.4914	      0.0000	      0.0000
      0.5114	      0.0000	      0.0000
      0.5317	      0.0000	      0.0000
      0.5517	      0.0000	      0.0000
      0.5714	      0.0000	      0.0000
      0.5914	      0.0000	      0.0000
      0.6120	      0.0000	      0.0000
      0.6316	      0.0000	      0.0000
      0.6518	      0.0000	      0.0000
      0.6714	      0.0000	      0.0000
      0.6915	      0.0000	      0.0000
      0.7114	      0.0000	      0.0000
      0.7317	      0.0000	      0.0000
      0.7517	      0.0000	      0.0000
      0.7714	      0.0000	      0.0000
      0.7914	      0.0000	      0.0000
      0.8120	      0.0000	      0.0000
      0.8317	      0.0000	      0.0000
      0.8517	      0.0000	      0.0000
      0.8714	      0.0000	      0.0000
      0.8915	      0.0000	      0.0000
      0.9115	      0.0000	      0.0000
      0.9317	      0.0000	      0.0000
      0.9517	      0.0000	      0.0000
      0.9714	      0.0000	      0.0000
      0.9915	      0.0000	      0.0000
      1.0120	      0.0000	      0.0000
      1.0317	      0.0000	      0.0000
      1.0517	      0.0000	      0.0000
      1.0715	      0.0000	      0.0000
      1.0915	      0.0000	      0.0000
      1.1115	      0.0000	      0.0000
      1.1318	      0.0000	      0.0000
      1.1517	      0.0000	      0.0000
      1.1715	      0.0000	      0.0000
      1.1915	      0.0000	      0.0000
      1.2120	      0.0000	      0.0000
      1.2317	      0.0000	      0.0000
      1.2518	      0.0000	      0.0000
      1.2714	      0.0000	      0.0000
      1.2915	      0.0000	      0.0000
      1.3115	      0.0000	      0.0000
      1.3318	      0.0000	      0.0000
      1.3518	      0.0000	      0.0000
      1.3715	      0.0000	      0.0000
      1.3915	      0.0000	      0.0000
      1.4115	      0.0000	      0.0000
      1.4317	      0.0000	      0.0000
      1.4518	      0.0000	      0.0000
      1.4714	      0.0000	      0.0000
      1.4915	      0.0000	      0.0000
      1.5115	      0.0000	      0.0000
      1.5318	      0.0000	      0.0000
      1.5518	      0.0000	      0.0000
