ï»¿Time_s      	Left_FrontWheelSpeed	Right_FrontWheelSpeed
      0.1689	      0.0000	      0.0000
      0.1890	      0.0000	      0.0000
      0.2089	      0.0000	      0.0000
      0.2286	      0.0000	      0.0000
      0.2489	      0.0000	      0.0000
      0.2689	      0.0000	      0.0000
      0.2890	      0.0000	      0.0000
      0.3089	      0.0000	      0.0000
      0.3289	      0.0000	      0.0000
      0.3489	      0.0000	      0.0000
      0.3689	      0.0000	      0.0000
      0.3890	      0.0000	      0.0000
      0.4089	      0.0000	      0.0000
      0.4286	      0.0000	      0.0000
      0.4486	      0.0000	      0.0000
      0.4689	      0.0000	      0.0000
      0.4890	      0.0000	      0.0000
      0.5089	      0.0000	      0.0000
      0.5289	      0.0000	      0.0000
      0.5489	      0.0000	      0.0000
      0.5689	      0.0000	      0.0000
      0.5890	      0.0000	      0.0000
      0.6089	      0.0000	      0.0000
      0.6289	      0.0000	      0.0000
      0.6489	      0.0000	      0.0000
      0.6689	      0.0000	      0.0000
      0.6891	      0.0000	      0.0000
      0.7090	      0.0000	      0.0000
      0.7289	      0.0000	      0.0000
      0.7489	      0.0000	      0.0000
      0.7689	      0.0000	      0.0000
      0.7890	      0.0000	      0.0000
      0.8089	      0.0000	      0.0000
      0.8290	      0.0000	      0.0000
      0.8490	      0.0000	      0.0000
      0.8690	      0.0000	      0.0000
      0.8891	      0.0000	      0.0000
      0.9087	      0.0000	      0.0000
      0.9290	      0.0000	      0.0000
      0.9490	      0.0000	      0.0000
      0.9690	      0.0000	      0.0000
      0.9890	      0.0000	      0.0000
      1.0090	      0.0000	      0.0000
      1.0287	      0.0000	      0.0000
      1.0490	      0.0000	      0.0000
      1.0690	      0.0000	      0.0000
      1.0890	      0.0000	      0.0000
      1.1090	      0.0000	      0.0000
      1.1290	      0.0000	      0.0000
      1.1490	      0.0000	      0.0000
      1.1690	      0.0000	      0.0000
      1.1891	      0.0000	      0.0000
      1.2090	      0.0000	      0.0000
      1.2290	      0.0000	      0.0000
      1.2490	      0.0000	      0.0000
      1.2690	      0.0000	      0.0000
      1.2891	      0.0000	      0.0000
      1.3090	      0.0000	      0.0000
      1.3290	      0.0000	      0.0000
      1.3490	      0.0000	      0.0000
      1.3690	      0.0000	      0.0000
      1.3891	      0.0000	      0.0000
      1.4090	      0.0000	      0.0000
      1.4287	      0.0000	      0.0000
      1.4490	      0.0000	      0.0000
      1.4690	      0.0000	      0.0000
      1.4891	      0.0000	      0.0000
      1.5090	      0.0000	      0.0000
      1.5290	      0.0000	      0.0000
      1.5490	      0.0000	      0.0000
      1.5690	      0.0000	      0.0000
      1.5891	      0.0000	      0.0000
      1.6090	      0.0000	      0.0000
      1.6290	      0.0000	      0.0000
      1.6490	      0.0000	      0.0000
      1.6690	      0.0000	      0.0000
      1.6892	      0.0000	      0.0000
      1.7090	      0.0000	      0.0000
      1.7290	      0.0000	      0.0000
      1.7490	      0.0000	      0.0000
      1.7690	      0.0000	      0.0000
      1.7891	      0.0000	      0.0000
      1.8090	      0.0000	      0.0000
      1.8290	      0.0000	      0.0000
      1.8490	      0.0000	      0.0000
      1.8688	      0.0000	      0.0000
      1.8891	      0.0000	      0.0000
      1.9087	      0.0000	      0.0000
      1.9291	      0.0000	      0.0000
      1.9490	      0.0000	      0.0000
      1.9690	      0.0000	      0.0000
      1.9892	      0.0000	      0.0000
      2.0090	      0.0000	      0.0000
      2.0288	      0.0000	      0.0000
      2.0490	      0.0000	      0.0000
      2.0690	      0.0000	      0.0000
      2.0891	      0.0000	      0.0000
      2.1091	      0.0000	      0.0000
      2.1291	      0.0000	      0.0000
      2.1491	      0.0000	      0.0000
      2.1691	      0.0000	      0.0000
      2.1892	      0.0000	      0.0000
      2.2091	      0.0000	      0.0000
      2.2291	      0.0000	      0.0000
      2.2491	      0.0000	      0.0000
      2.2688	      0.0000	      0.0000
      2.2892	      0.0000	      0.0000
      2.3091	      0.0000	      0.0000
      2.3291	      0.0000	      0.0000
      2.3491	      0.0000	      0.0000
      2.3691	      0.0000	      0.0000
      2.3892	      0.0000	      0.0000
      2.4091	      0.0000	      0.0000
      2.4296	      0.0000	      0.0000
      2.4491	      0.0000	      0.0000
      2.4691	      0.0000	      0.0000
      2.4892	      0.0000	      0.0000
      2.5091	      0.0000	      0.0000
      2.5291	      0.0000	      0.0000
      2.5491	      0.0000	      0.0000
      2.5691	      0.0000	      0.0000
      2.5892	      0.0000	      0.0000
      2.6091	      0.0000	      0.0000
      2.6288	      0.0000	      0.0000
      2.6491	      0.0000	      0.0000
      2.6691	      0.0000	      0.0000
      2.6893	      0.0000	      0.0000
      2.7091	      0.0000	      0.0000
      2.7291	      0.0000	      0.0000
      2.7491	      0.0000	      0.0000
      2.7691	      0.0000	      0.0000
      2.7892	      0.0000	      0.0000
      2.8091	      0.0000	      0.0000
      2.8288	      0.0000	      0.0000
      2.8491	      0.0000	      0.0000
      2.8691	      0.0000	      0.0000
      2.8892	      0.0000	      0.0000
      2.9091	      0.0000	      0.0000
      2.9291	      0.0000	      0.0000
      2.9491	      0.0000	      0.0000
      2.9691	      0.0000	      0.0000
      2.9892	      0.0000	      0.0000
      3.0091	      0.0000	      0.0000
      3.0288	      0.0000	      0.0000
      3.0491	      0.0000	      0.0000
      3.0688	      0.0000	      0.0000
      3.0892	      0.0000	      0.0000
      3.1091	      0.0000	      0.0000
      3.1291	      0.0000	      0.0000
      3.1491	      0.0000	      0.0000
      3.1691	      0.0000	      0.0000
      3.1893	      0.0000	      0.0000
      3.2091	      0.0000	      0.0000
      3.2291	      0.0000	      0.0000
      3.2492	      0.0000	      0.0000
      3.2692	      0.0000	      0.0000
      3.2893	      0.0000	      0.0000
      3.3092	      0.0000	      0.0000
      3.3292	      0.0000	      0.0000
      3.3492	      0.0000	      0.0000
      3.3692	      0.0000	      0.0000
      3.3893	      0.0000	      0.0000
      3.4092	      0.0000	      0.0000
      3.4297	      0.0000	      0.0000
      3.4492	      0.0000	      0.0000
      3.4692	      0.0000	      0.0000
      3.4893	      0.0000	      0.0000
      3.5092	      0.0000	      0.0000
      3.5292	      0.0000	      0.0000
      3.5492	      0.0000	      0.0000
      3.5692	      0.0000	      0.0000
      3.5893	      0.0000	      0.0000
      3.6092	      0.0000	      0.0000
      3.6289	      0.0000	      0.0000
      3.6492	      0.0000	      0.0000
      3.6692	      0.0000	      0.0000
      3.6894	      0.0000	      0.0000
      3.7092	      0.0000	      0.0000
      3.7292	      0.0000	      0.0000
      3.7492	      0.0000	      0.0000
      3.7692	      0.0000	      0.0000
      3.7895	      0.0000	      0.0000
      3.8092	      0.0000	      0.0000
      3.8292	      0.0000	      0.0000
      3.8492	      0.0000	      0.0000
      3.8692	      0.0000	      0.0000
      3.8893	      0.0000	      0.0000
      3.9092	      0.0000	      0.0000
      3.9292	      0.0000	      0.0000
      3.9492	      0.0000	      0.0000
      3.9692	      0.0000	      0.0000
      3.9893	      0.0000	      0.0000
      4.0092	      0.0000	      0.0000
      4.0292	      0.0000	      0.0000
