ï»¿Time_s      	SteeringWheelAngle_rad	InputShaftAngle_deg
      0.1550	  0.76271875	     -8.0000
      0.1649	  0.76271875	     -8.0000
      0.1749	  0.76271875	     -8.0000
      0.1850	  0.76271875	     -8.0000
      0.1950	  0.76271875	     -8.0000
      0.2050	  0.76271875	     -8.0000
      0.2150	  0.76271875	     -8.0000
      0.2250	  0.76271875	     -8.0000
      0.2350	  0.76271875	     -8.0000
      0.2450	  0.76271875	     -8.0000
      0.2550	  0.76271875	     -8.0000
      0.2650	  0.76271875	     -8.0000
      0.2750	  0.76271875	     -8.0000
      0.2850	  0.76271875	     -8.0000
      0.2950	  0.76271875	     -8.0000
      0.3050	  0.76271875	     -8.0000
      0.3150	  0.76271875	     -8.0000
      0.3250	  0.76271875	     -8.0000
      0.3350	  0.76271875	     -8.0000
      0.3450	  0.76271875	     -8.0000
      0.3550	  0.76271875	     -8.0000
      0.3650	  0.76271875	     -8.0000
      0.3750	  0.76271875	     -8.0000
      0.3850	  0.76271875	     -8.0000
      0.3950	  0.76271875	     -8.0000
      0.4050	  0.76271875	     -8.0000
      0.4150	  0.76271875	     -8.0000
      0.4250	  0.76271875	     -8.0000
      0.4350	  0.76271875	     -8.0000
      0.4450	  0.76271875	     -8.0000
      0.4550	  0.76271875	     -8.0000
      0.4650	  0.76271875	     -8.0000
      0.4750	  0.76271875	     -8.0000
      0.4850	  0.76271875	     -8.0000
      0.4950	  0.76271875	     -8.0000
      0.5050	  0.76271875	     -8.0000
      0.5150	  0.76271875	     -8.0000
      0.5250	  0.76271875	     -8.0000
      0.5350	  0.76271875	     -8.0000
      0.5450	  0.76271875	     -8.0000
      0.5550	  0.76271875	     -8.0000
      0.5650	  0.76271875	     -8.0000
      0.5750	  0.76271875	     -8.0000
      0.5850	  0.76271875	     -8.0000
      0.5950	  0.76271875	     -8.0000
      0.6050	  0.76271875	     -8.0000
      0.6150	  0.76271875	     -8.0000
      0.6250	  0.76271875	     -8.0000
      0.6350	  0.76271875	     -8.0000
      0.6450	  0.76271875	     -8.0000
      0.6550	  0.76271875	     -8.0000
      0.6650	  0.76271875	     -8.0000
      0.6750	  0.76271875	     -8.0000
      0.6850	  0.76271875	     -8.0000
      0.6950	  0.76271875	     -8.0000
      0.7050	  0.76271875	     -8.0000
      0.7150	  0.76271875	     -8.0000
      0.7250	  0.76271875	     -8.0000
      0.7350	  0.76271875	     -8.0000
      0.7450	  0.76271875	     -8.0000
      0.7550	  0.76271875	     -8.0000
      0.7650	  0.76271875	     -8.0000
      0.7750	  0.76271875	     -8.0000
      0.7850	  0.76271875	     -8.0000
      0.7950	  0.76271875	     -8.0000
      0.8050	  0.76271875	     -8.0000
      0.8150	  0.76271875	     -8.0000
      0.8250	  0.76271875	     -8.0000
      0.8350	  0.76271875	     -8.0000
