ï»¿Time_s      	WheelBasedVehicleSpd
      0.2418	      0.0000
      0.3419	      0.0000
      0.4419	      0.0000
      0.5419	      0.0000
      0.6419	      0.0000
      0.7420	      0.0000
      0.8419	      0.0000
      0.9420	      0.0000
      1.0420	      0.0000
      1.1420	      0.0000
      1.2420	      0.0000
      1.3421	      0.0000
      1.4420	      0.0000
      1.5420	      0.0000
      1.6421	      0.0000
      1.7420	      0.0000
      1.8420	      0.0000
      1.9422	      0.0000
      2.0420	      0.0000
      2.1420	      0.0000
      2.2421	      0.0000
      2.3420	      0.0000
      2.4420	      0.0000
      2.5421	      0.0000
      2.6420	      0.0000
      2.7421	      0.0000
      2.8421	      0.0000
      2.9421	      0.0000
      3.0420	      0.0000
      3.1421	      0.0000
      3.2421	      0.0000
      3.3421	      0.0000
      3.4421	      0.0000
      3.5421	      0.0000
      3.6421	      0.0000
      3.7422	      0.0000
      3.8421	      0.0000
      3.9422	      0.0000
      4.0422	      0.0000
      4.1422	      0.0000
      4.2422	      0.0000
      4.3422	      0.0000
      4.4422	      0.0000
      4.5422	      0.0000
      4.6422	      0.0000
      4.7422	      0.0000
      4.8422	      0.0000
      4.9423	      0.0000
      5.0422	      0.0000
      5.1422	      0.0000
      5.2423	      0.0000
      5.3422	      0.0000
      5.4422	      0.0000
      5.5423	      0.0000
      5.6422	      0.0000
      5.7423	      0.0000
      5.8423	      0.0000
      5.9423	      0.0000
      6.0423	      0.0000
      6.1424	      0.0000
      6.2423	      0.0000
      6.3423	      0.0000
      6.4424	      0.0000
      6.5423	      0.0000
      6.6423	      0.0000
      6.7424	      0.0000
      6.8423	      0.0000
      6.9424	      0.0000
      7.0424	      0.0000
      7.1424	      0.0000
      7.2424	      0.0000
      7.3425	      0.0000
      7.4424	      0.0000
      7.5424	      0.0000
      7.6425	      0.0000
      7.7424	      0.0000
      7.8425	      0.0000
      7.9425	      0.0000
      8.0424	      0.0000
      8.1425	      0.0000
      8.2426	      0.0000
      8.3425	      0.0000
      8.4425	      0.0000
      8.5426	      0.0000
      8.6425	      0.0000
      8.7425	      0.0000
      8.8426	      0.0000
      8.9426	      0.0000
      9.0425	      0.0000
      9.1426	      0.0000
      9.2426	      0.0000
      9.3426	      0.0000
      9.4426	      0.0000
      9.5426	      0.0000
      9.6426	      0.0000
      9.7427	      0.0000
      9.8426	      0.0000
      9.9426	      0.0000
     10.0427	      0.0000
     10.1426	      0.0000
     10.2427	      0.0000
     10.3427	      0.0000
     10.4427	      0.0000
     10.5427	      0.0000
     10.6427	      0.0000
     10.7427	      0.0000
     10.8427	      0.0000
     10.9428	      0.0000
     11.0427	      0.0000
     11.1427	      0.0000
     11.2428	      0.0000
     11.3427	      0.0000
     11.4428	      0.0000
     11.5428	      0.0000
     11.6428	      0.0000
     11.7428	      0.0000
     11.8429	      0.0000
     11.9428	      0.0000
     12.0428	      0.0000
     12.1429	      0.0000
     12.2428	      0.0000
     12.3428	      0.0000
     12.4429	      0.0000
     12.5428	      0.0000
     12.6429	      0.0000
     12.7429	      0.0000
     12.8429	      0.0000
     12.9429	      0.0000
     13.0430	      0.0000
     13.1429	      0.0000
     13.2429	      0.0000
     13.3430	      0.0000
     13.4429	      0.0000
     13.5429	      0.0000
     13.6430	      0.0000
     13.7429	      0.0000
     13.8430	      0.0000
     13.9431	      0.0000
     14.0430	      0.0000
     14.1430	      0.0000
     14.2431	      0.0000
     14.3430	      0.0000
     14.4430	      0.0000
     14.5431	      0.0000
     14.6430	      0.0000
     14.7431	      0.0000
     14.8431	      0.0000
     14.9431	      0.0000
     15.0431	      0.0000
     15.1431	      0.0000
     15.2431	      0.0000
     15.3431	      0.0000
     15.4432	      0.0000
     15.5431	      0.0000
     15.6431	      0.0000
     15.7432	      0.0000
     15.8431	      0.0000
     15.9432	      0.0000
     16.0432	      0.0000
     16.1432	      0.0000
     16.2432	      0.0000
     16.3433	      0.0000
     16.4432	      0.0000
     16.5432	      0.0000
     16.6433	      0.0000
     16.7432	      0.0000
     16.8432	      0.0000
     16.9433	      0.0000
     17.0432	      0.0000
     17.1433	      0.0000
     17.2433	      0.0000
     17.3433	      0.0000
     17.4433	      0.0000
     17.5433	      0.0000
     17.6433	      0.0000
     17.7433	      0.0000
     17.8434	      0.0000
     17.9433	      0.0000
     18.0433	      0.0000
     18.1434	      0.0000
     18.2433	      0.0000
     18.3434	      0.0000
     18.4434	      0.0000
     18.5434	      0.0000
     18.6434	      0.0000
     18.7434	      0.0000
     18.8434	      0.0000
     18.9435	      0.0000
     19.0435	      0.0000
     19.1434	      0.0000
     19.2435	      0.0000
     19.3435	      0.0000
     19.4434	      0.0000
     19.5435	      0.0000
     19.6435	      0.0000
     19.7435	      0.0000
     19.8435	      0.0000
     19.9436	      0.0000
     20.0435	      0.0000
     20.1435	      0.0000
     20.2436	      0.0000
     20.3435	      0.0000
     20.4435	      0.0000
     20.5436	      0.0000
     20.6435	      0.0000
     20.7436	      0.0000
     20.8436	      0.0000
     20.9436	      0.0000
     21.0436	      0.0000
     21.1437	      0.0000
     21.2436	      0.0000
     21.3436	      0.0000
     21.4437	      0.0000
     21.5436	      0.0000
     21.6436	      0.0000
     21.7437	      0.0000
     21.8437	      0.0000
     21.9437	      0.0000
     22.0437	      0.0000
     22.1437	      0.0000
     22.2437	      0.0000
     22.3438	      0.0000
     22.4437	      0.0000
     22.5437	      0.0000
     22.6438	      0.0000
     22.7437	      0.0000
     22.8437	      0.0000
     22.9438	      0.0000
     23.0437	      0.0000
     23.1438	      0.0000
     23.2438	      0.0000
     23.3438	      0.0000
     23.4438	      0.0000
     23.5439	      0.0000
     23.6438	      0.0000
     23.7438	      0.0000
     23.8439	      0.0000
     23.9439	      0.0000
     24.0439	      0.0000
     24.1439	      0.0000
     24.2439	      0.0000
     24.3439	      0.0000
     24.4440	      0.0000
     24.5439	      0.0000
     24.6439	      0.0000
     24.7440	      0.0000
     24.8439	      0.0000
     24.9439	      0.0000
     25.0440	      0.0000
     25.1439	      0.0000
     25.2440	      0.0000
     25.3440	      0.0000
     25.4440	      0.0000
