Time_s,gps_valid,gnss_east_m,gnss_north_m,fused_east_m,fused_north_m,pure_east_m,pure_north_m,err_fused_m,err_pure_m
0.0019,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1019,1,1.4717,0.2123,1.4717,0.2123,1.5103,0.2096,0.0000,0.0387
0.2019,1,2.9424,0.4246,2.9424,0.4246,3.0205,0.4200,0.0000,0.0783
0.3019,1,4.4136,0.6370,4.4136,0.6370,4.5288,0.6303,0.0000,0.1154
0.4019,1,5.8853,0.8493,5.8853,0.8493,6.0308,0.8446,0.0000,0.1456
0.5019,1,5.8853,0.8493,5.8853,0.8493,7.5391,1.0598,0.0000,1.6672
0.6019,1,8.8276,1.2739,8.8276,1.2739,9.0356,1.2851,0.0000,0.2083
0.7019,1,10.2988,1.4863,10.2988,1.4863,10.5269,1.5140,0.0000,0.2297
0.8019,1,11.7700,1.6986,11.7700,1.6986,12.0190,1.7432,0.0000,0.2530
0.9019,1,13.2407,1.9109,13.2407,1.9109,13.5083,1.9708,0.0000,0.2742
1.0019,1,14.7129,2.1232,14.7129,2.1232,14.9951,2.1999,0.0000,0.2925
1.1019,1,16.1836,2.5479,16.1836,2.5479,16.4810,2.4318,0.0000,0.3192
1.2019,1,17.6548,2.7602,17.6548,2.7602,17.9653,2.6669,0.0000,0.3243
1.3019,1,19.1265,2.9725,19.1265,2.9725,19.4487,2.9072,0.0000,0.3288
1.4019,1,20.5972,3.1849,20.5972,3.1849,20.9258,3.1549,0.0000,0.3300
1.5019,1,20.5972,3.1849,20.5972,3.1849,22.4014,3.4023,0.0000,1.8173
1.6019,1,23.5400,3.6095,23.5400,3.6095,23.8770,3.6604,0.0000,0.3407
1.7019,1,25.0112,4.0342,25.0112,4.0342,25.3530,3.9175,0.0000,0.3612
1.8019,1,26.4819,4.2465,26.4819,4.2465,26.8301,4.1673,0.0000,0.3570
1.9019,1,27.9536,4.4588,27.9536,4.4588,28.3091,4.4098,0.0000,0.3588
2.0019,1,29.4243,4.6711,29.4243,4.6711,29.7871,4.6489,0.0000,0.3635
2.1019,1,30.8960,4.8835,30.8960,4.8835,31.2676,4.8895,0.0000,0.3716
2.2019,1,32.3672,5.0958,32.3672,5.0958,32.7471,5.1352,0.0000,0.3819
2.3019,1,33.8384,5.5204,33.8384,5.5204,34.2275,5.3888,0.0000,0.4108
2.4019,1,35.3096,5.7328,35.3096,5.7328,35.7075,5.6479,0.0000,0.4069
2.5019,1,35.3096,5.7328,35.3096,5.7328,37.1885,5.9071,0.0000,1.8870
2.6019,1,38.2520,6.1574,38.2520,6.1574,38.6685,6.1724,0.0000,0.4168
2.7019,1,40.4585,6.5821,40.4585,6.5821,40.1494,6.4394,0.0000,0.3404
2.8019,1,41.9302,6.7944,41.9302,6.7944,41.6328,6.7090,0.0000,0.3094
2.9019,1,43.4014,7.0067,43.4014,7.0067,43.1162,6.9807,0.0000,0.2863
3.0019,1,44.8726,7.2191,44.8726,7.2191,44.6006,7.2548,0.0000,0.2743
3.1019,1,46.3438,7.6437,46.3438,7.6437,46.0850,7.5312,0.0000,0.2822
3.2019,1,47.8149,7.8560,47.8149,7.8560,47.5698,7.8085,0.0000,0.2497
3.3019,1,49.2861,8.0684,49.2861,8.0684,49.0542,8.0853,0.0000,0.2325
3.4019,1,50.7573,8.4930,50.7573,8.4930,50.5425,8.3616,0.0000,0.2518
3.5019,1,50.7573,8.4930,50.7573,8.4930,52.0312,8.6381,0.0000,1.2822
3.6019,1,53.6997,8.9176,53.6997,8.9176,53.5190,8.9174,0.0000,0.1807
3.7019,1,55.1714,9.3423,55.1714,9.3423,55.0098,9.1987,0.0000,0.2162
3.8019,1,56.6421,9.5546,56.6421,9.5546,56.5054,9.4786,0.0000,0.1564
3.9019,1,58.1133,9.7669,58.1133,9.7669,57.9985,9.7581,0.0000,0.1151
4.0019,1,59.5850,10.1916,59.5850,10.1916,59.4897,10.0414,0.0000,0.1778
4.1019,1,61.0562,10.4039,61.0562,10.4039,60.9795,10.3300,0.0000,0.1065
