ï»¿Time_s      	VehicleSpeed_kmh	CurrentGear 
      0.0644	      0.0000	          11
      0.0668	      0.0000	          11
      0.0692	      0.0000	          11
      0.0717	      0.0000	          11
      0.0741	      0.0000	          11
      0.0766	      0.0000	          11
      0.0853	      0.0000	          11
      0.0953	      0.0000	          11
      0.1053	      0.0000	          11
      0.1153	      0.0000	          11
      0.1253	      0.0000	          11
      0.1355	      0.0000	          11
      0.1453	      0.0000	          11
      0.1553	      0.0000	          11
      0.1653	      0.0000	          11
      0.1753	      0.0000	          11
      0.1853	      0.0000	          11
      0.1953	      0.0000	          11
      0.2053	      0.0000	          11
      0.2155	      0.0000	          11
      0.2253	      0.0000	          11
      0.2353	      0.0000	          11
      0.2453	      0.0000	          11
      0.2553	      0.0000	          11
      0.2653	      0.0000	          11
      0.2753	      0.0000	          11
      0.2853	      0.0000	          11
      0.2955	      0.0000	          11
      0.3053	      0.0000	          11
      0.3153	      0.0000	          11
      0.3253	      0.0000	          11
      0.3353	      0.0000	          11
      0.3453	      0.0000	          11
      0.3553	      0.0000	          11
      0.3653	      0.0000	          11
      0.3755	      0.0000	          11
      0.3853	      0.0000	          11
      0.3953	      0.0000	          11
      0.4053	      0.0000	          11
      0.4153	      0.0000	          11
      0.4253	      0.0000	          11
      0.4353	      0.0000	          11
      0.4453	      0.0000	          11
      0.4555	      0.0000	          11
      0.4653	      0.0000	          11
      0.4753	      0.0000	          11
      0.4853	      0.0000	          11
      0.4953	      0.0000	          11
      0.5053	      0.0000	          11
      0.5153	      0.0000	          11
      0.5253	      0.0000	          11
      0.5355	      0.0000	          11
      0.5453	      0.0000	          11
      0.5553	      0.0000	          11
      0.5653	      0.0000	          11
      0.5753	      0.0000	          11
      0.5853	      0.0000	          11
      0.5957	      0.0000	          11
      0.6053	      0.0000	          11
      0.6155	      0.0000	          11
      0.6253	      0.0000	          11
      0.6353	      0.0000	          11
      0.6453	      0.0000	          11
      0.6553	      0.0000	          11
      0.6653	      0.0000	          11
      0.6753	      0.0000	          11
      0.6853	      0.0000	          11
      0.6955	      0.0000	          11
      0.7053	      0.0000	          11
      0.7153	      0.0000	          11
      0.7253	      0.0000	          11
      0.7353	      0.0000	          11
      0.7453	      0.0000	          11
      0.7553	      0.0000	          11
      0.7653	      0.0000	          11
      0.7755	      0.0000	          11
      0.7853	      0.0000	          11
      0.7953	      0.0000	          11
      0.8053	      0.0000	          11
      0.8153	      0.0000	          11
      0.8253	      0.0000	          11
      0.8354	      0.0000	          11
      0.8453	      0.0000	          11
      0.8555	      0.0000	          11
      0.8653	      0.0000	          11
      0.8753	      0.0000	          11
      0.8853	      0.0000	          11
      0.8953	      0.0000	          11
      0.9053	      0.0000	          11
      0.9153	      0.0000	          11
      0.9253	      0.0000	          11
      0.9355	      0.0000	          11
      0.9453	      0.0000	          11
      0.9553	      0.0000	          11
      0.9653	      0.0000	          11
      0.9753	      0.0000	          11
      0.9853	      0.0000	          11
      0.9953	      0.0000	          11
      1.0053	      0.0000	          11
      1.0155	      0.0000	          11
      1.0253	      0.0000	          11
      1.0353	      0.0000	          11
      1.0453	      0.0000	          11
      1.0553	      0.0000	          11
      1.0653	      0.0000	          11
      1.0753	      0.0000	          11
      1.0853	      0.0000	          11
      1.0955	      0.0000	          11
      1.1053	      0.0000	          11
      1.1153	      0.0000	          11
      1.1253	      0.0000	          11
      1.1353	      0.0000	          11
      1.1453	      0.0000	          11
      1.1553	      0.0000	          11
      1.1653	      0.0000	          11
      1.1755	      0.0000	          11
      1.1853	      0.0000	          11
      1.1953	      0.0000	          11
      1.2053	      0.0000	          11
      1.2153	      0.0000	          11
      1.2253	      0.0000	          11
      1.2353	      0.0000	          11
      1.2453	      0.0000	          11
      1.2555	      0.0000	          11
      1.2653	      0.0000	          11
      1.2753	      0.0000	          11
      1.2853	      0.0000	          11
      1.2953	      0.0000	          11
      1.3053	      0.0000	          11
      1.3153	      0.0000	          11
      1.3253	      0.0000	          11
      1.3355	      0.0000	          11
      1.3454	      0.0000	          11
      1.3553	      0.0000	          11
      1.3653	      0.0000	          11
      1.3753	      0.0000	          11
      1.3853	      0.0000	          11
      1.3953	      0.0000	          11
      1.4053	      0.0000	          11
      1.4155	      0.0000	          11
      1.4253	      0.0000	          11
      1.4353	      0.0000	          11
      1.4454	      0.0000	          11
      1.4553	      0.0000	          11
      1.4653	      0.0000	          11
      1.4753	      0.0000	          11
      1.4853	      0.0000	          11
      1.4955	      0.0000	          11
      1.5053	      0.0000	          11
      1.5153	      0.0000	          11
      1.5253	      0.0000	          11
      1.5353	      0.0000	          11
      1.5453	      0.0000	          11
      1.5553	      0.0000	          11
      1.5653	      0.0000	          11
      1.5755	      0.0000	          11
      1.5853	      0.0000	          11
      1.5957	      0.0000	          11
      1.6053	      0.0000	          11
      1.6153	      0.0000	          11
